PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
Mikal Bridges,NYK,82,3036,-0.5,0.4,-0.9,1.2
Josh Hart,NYK,77,2897,2.8,1.1,1.8,3.6
Anthony Edwards,MIN,79,2871,4.3,4.4,0.0,4.6
Devin Booker,PHO,75,2795,0.4,2.8,-2.4,1.7
James Harden,LAC,79,2789,4.3,3.5,0.8,4.4
DeMar DeRozan,SAC,77,2768,-0.1,1.2,-1.2,1.3
Trae Young,ATL,76,2739,0.5,3.3,-2.7,1.7
Tyler Herro,MIA,77,2725,3.1,3.8,-0.7,3.5
OG Anunoby,NYK,74,2706,0.7,0.7,0.1,1.9
Jalen Green,HOU,82,2697,0.5,1.1,-0.5,1.7
Christian Braun,DEN,79,2675,0.3,0.8,-0.5,1.6
Bam Adebayo,MIA,78,2674,2.0,1.0,1.0,2.7
Ivica Zubac,LAC,80,2624,3.1,2.3,0.8,3.4
Jayson Tatum,BOS,72,2624,5.2,4.4,0.8,4.8
Jaden McDaniels,MIN,82,2614,0.0,-1.4,1.4,1.4
Keegan Murray,SAC,76,2610,-1.6,-0.8,-0.8,0.2
Zach LaVine,2TM,74,2602,0.7,2.3,-1.6,1.8
Zach LaVine,CHI,42,1432,1.6,2.7,-1.0,1.3
Zach LaVine,SAC,32,1170,-0.4,1.8,-2.3,0.5
Shai Gilgeous-Alexander,OKC,76,2598,11.5,8.9,2.6,8.9
Michael Porter Jr.,DEN,77,2593,-0.1,1.6,-1.7,1.2
Derrick White,BOS,76,2574,3.5,2.7,0.8,3.6
Dyson Daniels,ATL,76,2571,1.5,-1.1,2.6,2.3
Nikola Jokić,DEN,70,2571,13.3,9.9,3.3,9.8
Austin Reaves,LAL,73,2550,1.9,2.4,-0.5,2.6
Toumani Camara,POR,78,2548,-0.1,-0.9,0.8,1.2
Pascal Siakam,IND,78,2548,1.7,2.2,-0.5,2.4
Brook Lopez,MIL,80,2546,0.8,0.4,0.4,1.8
Karl-Anthony Towns,NYK,72,2517,3.6,3.5,0.1,3.5
Bub Carrington,WAS,82,2458,-4.6,-3.3,-1.3,-1.6
Cade Cunningham,DET,70,2452,3.9,3.8,0.1,3.7
Tyrese Haliburton,IND,73,2451,5.8,5.7,0.2,4.9
Coby White,CHI,74,2450,-0.9,0.5,-1.4,0.7
LeBron James,LAL,70,2444,5.6,4.9,0.7,4.7
Domantas Sabonis,SAC,70,2429,5.2,4.2,1.1,4.4
Jamal Murray,DEN,67,2418,0.8,1.8,-1.0,1.7
Alperen Şengün,HOU,76,2395,4.4,2.6,1.8,3.9
Dillon Brooks,HOU,75,2388,-1.4,-1.4,0.0,0.4
Rudy Gobert,MIN,72,2388,1.9,0.6,1.3,2.4
Tobias Harris,DET,73,2305,0.1,-0.5,0.6,1.2
Darius Garland,CLE,75,2301,3.1,3.9,-0.8,3.0
Jalen Brunson,NYK,65,2301,3.3,4.7,-1.3,3.1
Jarrett Allen,CLE,82,2296,4.2,3.0,1.2,3.6
