PLAYER_NAME,TEAM,AGE,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,AST_PCT,PIE,PACE,POSS,SEASON
"A.J. Lawson",DAL,23,42,7.4,1.2,106.6,105.3,0.18,0.519,0.089,0.076,107.53,701,2023-24
"AJ Green",MIL,24,56,11,3.5,114,110.5,0.15,0.617,0.068,0.068,98.96,1269,2023-24
"AJ Griffin",ATL,20,20,8.5,-14,106,120.1,0.167,0.382,0.041,0.017,106.84,381,2023-24
"Aaron Gordon",DEN,28,73,31.5,8.7,119.8,111.1,0.174,0.607,0.147,0.103,98.01,4697,2023-24
"Aaron Holiday",HOU,27,78,16.3,2.9,110.5,107.6,0.158,0.578,0.157,0.078,102.24,2706,2023-24
"Aaron Nesmith",IND,24,72,27.7,4.3,119.3,115,0.158,0.631,0.067,0.071,102.47,4249,2023-24
"Aaron Wiggins",OKC,25,78,15.7,5.7,115.6,110,0.163,0.664,0.096,0.096,100.83,2556,2023-24
"Adam Flagler",OKC,24,2,7,0,109.7,109.7,0.212,0.214,0.364,0.013,106.16,31,2023-24
"Adama Sanogo",CHI,22,9,7.3,21.7,115.3,93.6,0.21,0.558,0,0.149,104.01,144,2023-24
"Admiral Schofield",ORL,27,23,3.7,-5.2,90.4,95.6,0.167,0.484,0.163,0.063,101.85,177,2023-24
"Al Horford",BOS,38,65,26.8,11.4,120.9,109.5,0.119,0.65,0.124,0.105,98.77,3585,2023-24
"Alec Burks",NYK,32,66,18.4,-10.7,107.8,118.5,0.234,0.536,0.115,0.087,100.63,2547,2023-24
"Aleksej Pokusevski",CHA,22,28,14.5,-9.7,103.5,113.2,0.172,0.525,0.132,0.095,97.8,829,2023-24
"Alex Caruso",CHI,30,71,28.7,0.3,110.9,110.6,0.146,0.613,0.167,0.089,99.21,4213,2023-24
"Alex Fudge",DAL,21,6,6.7,-47.3,81.8,129.1,0.176,0.472,0,0.052,103.84,88,2023-24
