player_a,player_b,team,season,chemistry,usg_overlap,usg_sum,obpm_diff,dbpm_diff,dbpm_sum,twoway_complement,ast_diff,ts_diff,age_diff,bpm_max,bpm_min,bpm_diff,shared_min
Luguentz Dort,Isaiah Joe,OKC,2024-25,19.36,0.033,0.299,2.0,0.9,0.7,2.1,0.029,0.031,1.0,1.3,0.2,1.1,648.8
Isaiah Joe,Aaron Wiggins,OKC,2024-25,19.19,0.034,0.366,0.1,0.1,-0.3,-2.25,0.006,0.021,1.0,1.3,1.1,0.2,658.2
OG Anunoby,Isaiah Hartenstein,NYK,2023-24,18.38,0.057,0.289,2.0,1.0,4.6,-6.51,0.043,0.075,0.0,3.5,0.6,2.9,514.5
Kentavious Caldwell-Pope,Christian Braun,DEN,2023-24,18.0,0.026,0.278,0.4,0.9,0.5,-4.2,0.019,0.048,8.0,-1.4,-1.9,0.5,532.1
Kevon Looney,Brandin Podziemski,GSW,2024-25,17.82,0.052,0.302,0.9,0.5,2.1,-2.07,0.051,0.022,7.0,0.7,0.3,0.4,512.6
OG Anunoby,Jalen Brunson,NYK,2023-24,17.08,0.138,0.484,7.6,2.2,1.4,20.77,0.231,0.003,1.0,5.8,0.6,5.2,635.8
Kenrich Williams,Aaron Wiggins,OKC,2024-25,15.26,0.049,0.351,1.7,1.1,0.7,1.95,0.009,0.009,4.0,1.1,0.6,0.5,552.0
Draymond Green,Buddy Hield,GSW,2024-25,15.18,0.039,0.353,1.6,3.1,2.5,-2.04,0.149,0.026,3.0,0.5,-1.0,1.5,676.8
Kenrich Williams,Isaiah Joe,OKC,2024-25,14.85,0.015,0.317,1.8,1.0,0.8,1.95,0.015,0.03,5.0,1.3,0.6,0.7,538.6
Dorian Finney-Smith,Gabe Vincent,LAL,2024-25,14.51,0.008,0.254,2.2,0.2,0.0,-6.29,0.024,0.068,3.0,-1.5,-4.0,2.5,511.7
Cameron Payne,Mikal Bridges,NYK,2024-25,13.92,0.008,0.392,0.5,0.7,-1.1,-0.13,0.11,0.053,2.0,-0.2,-0.5,0.3,581.1
Shai Gilgeous-Alexander,Kenrich Williams,OKC,2024-25,13.61,0.185,0.487,9.3,1.7,3.5,8.19,0.188,0.05,4.0,11.5,0.6,10.9,578.7
Kentavious Caldwell-Pope,Michael Porter Jr.,DEN,2023-24,13.54,0.076,0.328,3.3,1.9,-0.5,6.72,0.026,0.001,5.0,0.1,-1.4,1.5,1987.8
Payton Pritchard,Sam Hauser,BOS,2023-24,13.3,0.022,0.314,0.1,0.2,-0.2,-1.8,0.146,0.032,0.0,1.2,1.0,0.2,1062.3
Julian Strawther,Christian Braun,DEN,2024-25,13.03,0.018,0.328,3.9,0.9,-1.9,2.21,0.014,0.106,1.0,0.3,-4.5,4.8,603.7
Al Horford,Jaylen Brown,BOS,2024-25,12.85,0.146,0.418,0.3,1.5,0.7,0.8,0.102,0.008,11.0,1.2,0.0,1.2,912.2
Kevin Huerter,Coby White,CHI,2024-25,12.82,0.066,0.408,1.7,1.1,-1.7,1.71,0.073,0.057,1.0,-0.9,-1.5,0.6,525.2
Tim Hardaway Jr.,Danté Exum,DAL,2023-24,12.76,0.072,0.368,0.5,1.8,-2.4,-0.0,0.087,0.103,4.0,-0.6,-2.9,2.3,616.8
OG Anunoby,Donte DiVincenzo,NYK,2023-24,12.55,0.036,0.382,3.8,0.9,2.7,4.96,0.049,0.002,1.0,3.4,0.6,2.8,527.8
Moses Moody,Brandin Podziemski,GSW,2023-24,12.25,0.027,0.325,0.3,0.3,0.5,-0.27,0.106,0.038,1.0,-0.1,-0.1,0.0,545.5
Isaiah Hartenstein,Aaron Wiggins,OKC,2024-25,12.12,0.035,0.365,0.7,2.8,2.4,3.0,0.076,0.003,1.0,3.2,1.1,2.1,552.5
Aaron Gordon,Christian Braun,DEN,2024-25,12.1,0.031,0.341,1.9,1.0,-2.0,-5.46,0.047,0.015,5.0,1.2,0.3,0.9,1083.7
Luguentz Dort,Isaiah Joe,OKC,2023-24,11.82,0.005,0.309,2.5,0.1,-0.5,1.68,0.032,0.033,1.0,0.9,-1.6,2.5,681.8
Reggie Jackson,Kentavious Caldwell-Pope,DEN,2023-24,11.73,0.083,0.335,0.3,2.2,-0.8,-0.84,0.15,0.081,3.0,-1.4,-3.2,1.8,895.5
Derrick White,Sam Hauser,BOS,2023-24,11.7,0.037,0.329,1.2,1.4,1.4,-1.2,0.147,0.018,3.0,3.8,1.2,2.6,732.9
Andrew Nembhard,Aaron Nesmith,IND,2024-25,11.63,0.008,0.334,2.6,0.8,-0.2,1.45,0.162,0.108,0.0,-0.5,-2.3,1.8,788.0
Mike Conley,Nickeil Alexander-Walker,MIN,2024-25,11.63,0.014,0.296,0.7,0.9,1.7,-1.68,0.094,0.006,11.0,1.2,-0.4,1.6,590.9
Chet Holmgren,Jalen Williams,OKC,2024-25,11.49,0.056,0.484,2.2,0.5,3.3,1.82,0.142,0.026,1.0,4.0,2.4,1.6,571.5
Andrew Nembhard,Bennedict Mathurin,IND,2024-25,11.38,0.059,0.385,1.3,1.8,-1.2,0.58,0.135,0.034,2.0,-2.3,-2.9,0.6,970.2
Derrick White,Payton Pritchard,BOS,2023-24,11.33,0.015,0.351,1.1,1.6,1.2,-1.5,0.001,0.014,3.0,3.8,1.0,2.8,559.3
Nicolas Batum,Ivica Zubac,LAC,2024-25,11.31,0.105,0.279,3.5,1.2,2.8,4.8,0.039,0.008,8.0,3.1,0.8,2.3,612.4
Rui Hachimura,Gabe Vincent,LAL,2024-25,11.22,0.025,0.287,3.7,0.5,-0.7,1.85,0.027,0.083,2.0,-0.7,-4.0,3.3,566.6
