player_a,player_b,team,season,gp,w,l,shared_min,pair_pm,pair_pm_per48,a_bpm,a_obpm,a_dbpm,b_bpm,b_obpm,b_dbpm,expected,chemistry
Luguentz Dort,Isaiah Joe,OKC,2024-25,59,49,10,648.8,282.0,20.86,0.2,-0.6,0.8,1.3,1.4,-0.1,1.5,19.36
Isaiah Joe,Aaron Wiggins,OKC,2024-25,64,53,11,658.2,296.0,21.59,1.3,1.4,-0.1,1.1,1.3,-0.2,2.4,19.19
OG Anunoby,Isaiah Hartenstein,NYK,2023-24,20,17,3,514.5,241.0,22.48,0.6,-1.3,1.8,3.5,0.7,2.8,4.1,18.38
Kentavious Caldwell-Pope,Christian Braun,DEN,2023-24,73,53,20,532.1,163.0,14.7,-1.4,-2.1,0.7,-1.9,-1.7,-0.2,-3.3,18.0
Kevon Looney,Brandin Podziemski,GSW,2024-25,58,34,24,512.6,201.0,18.82,0.3,-1.0,1.3,0.7,-0.1,0.8,1.0,17.82
OG Anunoby,Jalen Brunson,NYK,2023-24,21,19,2,635.8,311.0,23.48,0.6,-1.3,1.8,5.8,6.3,-0.4,6.4,17.08
Kenrich Williams,Aaron Wiggins,OKC,2024-25,60,49,11,552.0,195.0,16.96,0.6,-0.4,0.9,1.1,1.3,-0.2,1.7,15.26
Draymond Green,Buddy Hield,GSW,2024-25,67,41,26,676.8,207.0,14.68,0.5,-2.3,2.8,-1.0,-0.7,-0.3,-0.5,15.18
Kenrich Williams,Isaiah Joe,OKC,2024-25,58,50,8,538.6,188.0,16.75,0.6,-0.4,0.9,1.3,1.4,-0.1,1.9,14.85
Dorian Finney-Smith,Gabe Vincent,LAL,2024-25,37,26,11,511.7,96.0,9.01,-1.5,-1.6,0.1,-4.0,-3.8,-0.1,-5.5,14.51
Cameron Payne,Mikal Bridges,NYK,2024-25,69,44,25,581.1,160.0,13.22,-0.2,-0.1,-0.2,-0.5,0.4,-0.9,-0.7,13.92
Georges Niang,Sam Merrill,CLE,2024-25,41,32,9,504.1,130.0,12.38,-1.8,-1.3,-0.5,0.3,-0.4,0.7,-1.5,13.88
Shai Gilgeous-Alexander,Kenrich Williams,OKC,2024-25,59,49,10,578.7,310.0,25.71,11.5,8.9,2.6,0.6,-0.4,0.9,12.1,13.61
Kentavious Caldwell-Pope,Michael Porter Jr.,DEN,2023-24,76,54,22,1987.8,507.0,12.24,-1.4,-2.1,0.7,0.1,1.2,-1.2,-1.3,13.54
Payton Pritchard,Sam Hauser,BOS,2023-24,79,62,17,1062.3,343.0,15.5,1.0,1.3,-0.2,1.2,1.2,0.0,2.2,13.3
Julian Strawther,Christian Braun,DEN,2024-25,56,36,20,603.7,111.0,8.83,-4.5,-3.1,-1.4,0.3,0.8,-0.5,-4.2,13.03
Al Horford,Jaylen Brown,BOS,2024-25,45,32,13,912.2,267.0,14.05,1.2,0.1,1.1,0.0,0.4,-0.4,1.2,12.85
Kevin Huerter,Coby White,CHI,2024-25,26,17,9,525.2,114.0,10.42,-1.5,-1.2,-0.3,-0.9,0.5,-1.4,-2.4,12.82
Tim Hardaway Jr.,Danté Exum,DAL,2023-24,53,35,18,616.8,119.0,9.26,-2.9,-0.8,-2.1,-0.6,-0.3,-0.3,-3.5,12.76
OG Anunoby,Donte DiVincenzo,NYK,2023-24,23,20,3,527.8,182.0,16.55,0.6,-1.3,1.8,3.4,2.5,0.9,4.0,12.55
Moses Moody,Brandin Podziemski,GSW,2023-24,52,28,24,545.5,137.0,12.05,-0.1,-0.2,0.1,-0.1,-0.5,0.4,-0.2,12.25
Isaiah Hartenstein,Aaron Wiggins,OKC,2024-25,50,42,8,552.5,189.0,16.42,3.2,0.6,2.6,1.1,1.3,-0.2,4.3,12.12
Aaron Gordon,Christian Braun,DEN,2024-25,49,31,18,1083.7,307.0,13.6,1.2,2.7,-1.5,0.3,0.8,-0.5,1.5,12.1
Bobby Portis,A.J. Green,MIL,2024-25,43,28,15,640.5,132.0,9.89,0.2,0.6,-0.4,-2.2,-1.7,-0.4,-2.0,11.89
Luguentz Dort,Isaiah Joe,OKC,2023-24,74,50,24,681.8,158.0,11.12,-1.6,-1.4,-0.2,0.9,1.1,-0.3,-0.7,11.82
Reggie Jackson,Kentavious Caldwell-Pope,DEN,2023-24,74,54,20,895.5,133.0,7.13,-3.2,-1.8,-1.5,-1.4,-2.1,0.7,-4.6,11.73
Derrick White,Sam Hauser,BOS,2023-24,70,56,14,732.9,255.0,16.7,3.8,2.4,1.4,1.2,1.2,0.0,5.0,11.7
Andrew Nembhard,Aaron Nesmith,IND,2024-25,43,28,15,788.0,145.0,8.83,-2.3,-2.6,0.3,-0.5,0.0,-0.5,-2.8,11.63
Mike Conley,Nickeil Alexander-Walker,MIN,2024-25,67,42,25,590.9,153.0,12.43,1.2,-0.1,1.3,-0.4,-0.8,0.4,0.8,11.63
Chet Holmgren,Jalen Williams,OKC,2024-25,27,21,6,571.5,213.0,17.89,2.4,0.5,1.9,4.0,2.7,1.4,6.4,11.49
Andrew Nembhard,Bennedict Mathurin,IND,2024-25,54,37,17,970.2,125.0,6.18,-2.3,-2.6,0.3,-2.9,-1.3,-1.5,-5.2,11.38
Derrick White,Payton Pritchard,BOS,2023-24,67,53,14,559.3,188.0,16.13,3.8,2.4,1.4,1.0,1.3,-0.2,4.8,11.33
Nicolas Batum,Ivica Zubac,LAC,2024-25,70,43,27,612.4,194.0,15.21,0.8,-1.2,2.0,3.1,2.3,0.8,3.9,11.31
Rui Hachimura,Gabe Vincent,LAL,2024-25,52,34,18,566.6,77.0,6.52,-0.7,-0.1,-0.6,-4.0,-3.8,-0.1,-4.7,11.22
Kentavious Caldwell-Pope,Aaron Gordon,DEN,2023-24,67,46,21,1854.4,429.0,11.1,-1.4,-2.1,0.7,1.3,1.2,0.1,-0.1,11.2
Dorian Finney-Smith,Austin Reaves,LAL,2024-25,41,27,14,877.9,211.0,11.54,-1.5,-1.6,0.1,1.9,2.4,-0.5,0.4,11.14
Isaiah Hartenstein,Luguentz Dort,OKC,2024-25,51,43,8,958.5,288.0,14.42,3.2,0.6,2.6,0.2,-0.6,0.8,3.4,11.02
Max Strus,Dean Wade,CLE,2023-24,50,34,16,721.7,158.0,10.51,-0.6,-1.1,0.5,0.1,-1.7,1.8,-0.5,11.01
Kawhi Leonard,Norman Powell,LAC,2024-25,27,21,6,627.9,204.0,15.59,3.1,2.5,0.6,1.5,1.7,-0.2,4.6,10.99
Pascal Siakam,Andrew Nembhard,IND,2024-25,62,41,21,1327.6,287.0,10.38,1.7,2.2,-0.5,-2.3,-2.6,0.3,-0.6,10.98
Jaren Jackson Jr.,Zach Edey,MEM,2024-25,60,31,29,845.5,232.0,13.17,2.3,1.6,0.8,-0.1,-0.2,0.1,2.2,10.97
Myles Turner,Andrew Nembhard,IND,2024-25,57,38,19,1368.7,258.0,9.05,0.4,0.0,0.4,-2.3,-2.6,0.3,-1.9,10.95
Al Horford,Jrue Holiday,BOS,2024-25,47,35,12,856.7,229.0,12.83,1.2,0.1,1.1,0.7,-0.3,1.0,1.9,10.93
Isaiah Joe,Chet Holmgren,OKC,2023-24,78,54,24,613.5,194.0,15.18,0.9,1.1,-0.3,3.4,1.8,1.5,4.3,10.88
Pascal Siakam,Aaron Nesmith,IND,2024-25,43,27,16,822.9,207.0,12.08,1.7,2.2,-0.5,-0.5,0.0,-0.5,1.2,10.88
Aaron Gordon,Michael Porter Jr.,DEN,2024-25,47,30,17,987.7,242.0,11.76,1.2,2.7,-1.5,-0.1,1.6,-1.7,1.1,10.66
Georges Niang,Donovan Mitchell,CLE,2024-25,48,38,10,585.6,153.0,12.54,-1.8,-1.3,-0.5,3.7,3.8,-0.2,1.9,10.64
Paul George,Norman Powell,LAC,2023-24,69,45,24,1014.1,274.0,12.97,3.2,2.9,0.2,-0.8,0.4,-1.2,2.4,10.57
Zach Edey,Jaylen Wells,MEM,2024-25,64,35,29,889.6,153.0,8.26,-0.1,-0.2,0.1,-2.2,-1.2,-1.0,-2.3,10.56
Isaiah Hartenstein,Josh Hart,NYK,2023-24,74,46,28,1358.8,396.0,13.99,3.5,0.7,2.8,0.0,-1.3,1.4,3.5,10.49
Caleb Martin,Jaime Jaquez Jr.,MIA,2023-24,57,34,23,973.9,132.0,6.51,-2.0,-2.2,0.2,-1.9,-2.2,0.3,-3.9,10.41
Myles Turner,Aaron Nesmith,IND,2024-25,38,24,14,740.6,159.0,10.3,0.4,0.0,0.4,-0.5,0.0,-0.5,-0.1,10.4
Draymond Green,Moses Moody,GSW,2024-25,56,36,20,893.1,185.0,9.94,0.5,-2.3,2.8,-0.9,-0.9,0.0,-0.4,10.34
Darius Garland,Isaac Okoro,CLE,2024-25,51,42,9,610.9,164.0,12.89,3.1,3.9,-0.8,-0.5,-1.1,0.6,2.6,10.29
Kentavious Caldwell-Pope,Jamal Murray,DEN,2023-24,54,41,13,1232.0,333.0,12.97,-1.4,-2.1,0.7,4.1,4.5,-0.4,2.7,10.27
Georges Niang,Evan Mobley,CLE,2024-25,45,37,8,511.0,139.0,13.06,-1.8,-1.3,-0.5,4.6,3.1,1.5,2.8,10.26
Jaylen Brown,Sam Hauser,BOS,2024-25,50,36,14,547.2,126.0,11.05,0.0,0.4,-0.4,0.8,0.9,-0.1,0.8,10.25
Eric Gordon,Jusuf Nurkić,PHX,2023-24,62,40,22,852.1,171.0,9.63,-1.7,-1.3,-0.5,1.1,-1.0,2.1,-0.6,10.23
Naji Marshall,Jordan Hawkins,NOP,2023-24,51,30,21,500.3,67.0,6.43,-0.7,-1.3,0.5,-3.1,-1.3,-1.7,-3.8,10.23
Pat Connaughton,Malik Beasley,MIL,2023-24,68,39,29,600.0,85.0,6.8,-1.6,-1.6,0.0,-1.8,-1.0,-0.8,-3.4,10.2
Kris Murray,Toumani Camara,POR,2023-24,40,10,30,531.4,38.0,3.43,-3.6,-3.5,-0.2,-3.1,-3.1,0.0,-6.7,10.13
Myles Turner,Bruce Brown,IND,2023-24,32,19,13,743.4,135.0,8.72,0.9,1.0,-0.1,-2.3,-1.7,-0.5,-1.4,10.12
Luke Kornet,Sam Hauser,BOS,2024-25,62,44,18,645.3,191.0,14.21,3.3,1.6,1.7,0.8,0.9,-0.1,4.1,10.11
Kevon Looney,Buddy Hield,GSW,2024-25,74,44,30,750.5,146.0,9.34,0.3,-1.0,1.3,-1.0,-0.7,-0.3,-0.7,10.04
Jaren Jackson Jr.,Jaylen Wells,MEM,2024-25,71,41,30,1235.8,260.0,10.1,2.3,1.6,0.8,-2.2,-1.2,-1.0,0.1,10.0
Naji Marshall,Jose Alvarado,NOP,2023-24,50,34,16,594.7,113.0,9.12,-0.7,-1.3,0.5,-0.1,-1.5,1.5,-0.8,9.92
