player_a,player_b,team_2324,team_2425,min_2324,min_2425,chem_2324,chem_2425
Keldon Johnson,Victor Wembanyama,SAS,SAS,999.6,554.3,-7.87,-7.93
Cameron Johnson,Cam Thomas,BKN,BKN,649.8,593.2,-7.62,-7.53
Naz Reid,Jaden McDaniels,MIN,MIN,806.7,1168.2,2.94,2.84
Franz Wagner,Jalen Suggs,ORL,ORL,1401.0,525.0,1.33,1.44
Nikola Jokić,Michael Porter Jr.,DEN,DEN,2129.7,1847.8,-1.13,-1.25
Wendell Carter Jr.,Franz Wagner,ORL,ORL,1058.3,931.9,2.98,3.1
Jordan Poole,Corey Kispert,WAS,WAS,973.8,611.1,-1.69,-1.81
Jaylen Brown,Payton Pritchard,BOS,BOS,606.0,906.0,3.69,3.81
Jayson Tatum,Luke Kornet,BOS,BOS,493.6,883.5,6.57,6.71
Walker Kessler,Keyonte George,UTA,UTA,773.7,1009.5,-7.73,-7.56
Norman Powell,Ivica Zubac,LAC,LAC,629.9,1615.3,5.33,5.15
Keldon Johnson,Devin Vassell,SAS,SAS,1144.5,840.4,-3.75,-3.93
Rui Hachimura,Austin Reaves,LAL,LAL,1414.8,1387.8,4.27,4.47
Wendell Carter Jr.,Paolo Banchero,ORL,ORL,1228.6,1054.9,-2.4,-2.62
Jayson Tatum,Sam Hauser,BOS,BOS,893.5,841.0,6.49,6.73
Al Horford,Kristaps Porziņģis,BOS,BOS,587.4,420.5,5.85,6.09
Terry Rozier,Bam Adebayo,MIA,MIA,799.3,1131.1,-2.68,-2.42
Duncan Robinson,Nikola Jović,MIA,MIA,345.4,474.6,5.74,5.45
Immanuel Quickley,Gradey Dick,TOR,TOR,397.6,383.5,-6.06,-5.76
Jaylen Brown,Jayson Tatum,BOS,BOS,1577.1,1409.6,2.6,2.94
Norman Powell,Amir Coffey,LAC,LAC,885.0,572.8,5.55,5.9
Rui Hachimura,Jaxson Hayes,LAL,LAL,353.3,392.6,9.32,9.68
Jarrett Allen,Dean Wade,CLE,CLE,758.0,715.3,7.41,7.04
Austin Reaves,Max Christie,LAL,LAL,410.8,767.2,3.55,3.15
Mike Conley,Anthony Edwards,MIN,MIN,1507.0,1271.6,0.31,-0.1
Domantas Sabonis,Kevin Huerter,SAC,SAC,1394.6,543.3,-3.67,-3.25
Devin Vassell,Julian Champagnie,SAS,SAS,770.2,532.3,-2.03,-2.47
Al Horford,Jayson Tatum,BOS,BOS,1301.2,1188.9,3.84,4.3
Jaylen Brown,Derrick White,BOS,BOS,1846.7,1648.1,5.98,5.41
Garrison Mathews,Onyeka Okongwu,ATL,ATL,347.5,350.3,0.08,-0.52
Shai Gilgeous-Alexander,Chet Holmgren,OKC,OKC,1633.1,626.0,-0.91,-1.56
Andrew Wiggins,Jonathan Kuminga,GSW,GSW,674.0,333.2,0.55,-0.11
Anthony Davis,Austin Reaves,LAL,LAL,1993.6,1037.3,-5.07,-5.73
Donovan Mitchell,Max Strus,CLE,CLE,1438.5,680.4,4.78,5.51
Al Horford,Sam Hauser,BOS,BOS,699.7,567.0,9.33,8.58
Haywood Highsmith,Tyler Herro,MIA,MIA,447.3,1395.4,2.69,1.9
Luguentz Dort,Chet Holmgren,OKC,OKC,1600.0,539.3,6.66,5.86
Rudy Gobert,Nickeil Alexander-Walker,MIN,MIN,1064.3,1008.3,7.97,7.16
Collin Sexton,Walker Kessler,UTA,UTA,693.6,1004.8,-8.27,-9.08
Julius Randle,Donte DiVincenzo,NYK,MIN,786.7,906.6,-1.7,-0.87
Nickeil Alexander-Walker,Naz Reid,MIN,MIN,1077.9,1501.2,6.05,6.89
Dillon Brooks,Amen Thompson,HOU,HOU,652.5,1244.7,0.18,1.08
Jrue Holiday,Kristaps Porziņģis,BOS,BOS,1088.2,836.3,2.2,1.26
Nikola Jokić,Jamal Murray,DEN,DEN,1417.6,1619.0,-1.66,-2.63
Julian Strawther,Peyton Watson,DEN,DEN,331.3,706.4,3.27,2.29
Shai Gilgeous-Alexander,Isaiah Joe,OKC,OKC,1086.8,941.3,7.06,6.07
Scoot Henderson,Kris Murray,POR,POR,560.7,464.7,-1.99,-1.0
Anfernee Simons,Toumani Camara,POR,POR,804.0,1564.4,-5.28,-4.28
Bam Adebayo,Duncan Robinson,MIA,MIA,1250.5,1229.4,-0.96,0.05
Josh Hart,Miles McBride,NYK,NYK,992.8,895.5,2.18,3.2
Jerami Grant,Shaedon Sharpe,POR,POR,641.4,743.1,-8.03,-9.05
Goga Bitadze,Franz Wagner,ORL,ORL,532.4,781.1,0.31,1.34
Obi Toppin,Bennedict Mathurin,IND,IND,747.6,779.0,-1.82,-2.87
Donovan Mitchell,Dean Wade,CLE,CLE,597.5,644.6,6.55,5.46
Al Horford,Derrick White,BOS,BOS,1094.2,1197.4,5.58,6.68
Max Strus,Darius Garland,CLE,CLE,991.2,920.7,6.35,5.24
Lauri Markkanen,Keyonte George,UTA,UTA,789.0,763.7,0.68,-0.46
Myles Turner,Tyrese Haliburton,IND,IND,1581.3,1750.2,1.0,-0.19
Franz Wagner,Anthony Black,ORL,ORL,631.5,830.7,-0.56,0.65
Jrue Holiday,Derrick White,BOS,BOS,1401.9,1335.3,3.65,4.86
Dorian Finney-Smith,Cameron Johnson,BKN,BKN,742.7,504.2,2.96,4.18
Stephen Curry,Kevon Looney,GSW,GSW,849.9,613.1,-5.74,-4.49
Cade Cunningham,Jalen Duren,DET,DET,1233.3,1544.8,-5.18,-3.92
Kristaps Porziņģis,Payton Pritchard,BOS,BOS,378.0,488.2,0.63,-0.63
Trendon Watford,Jalen Wilson,BKN,BKN,325.1,445.7,2.66,1.4
Jayson Tatum,Derrick White,BOS,BOS,1696.4,1776.2,3.1,1.79
Kyrie Irving,P.J. Washington,DAL,DAL,762.4,964.4,6.06,4.62
Keldon Johnson,Blake Wesley,SAS,SAS,458.4,343.8,-4.88,-6.35
Draymond Green,Andrew Wiggins,GSW,GSW,917.0,661.5,4.81,3.29
Darius Garland,Evan Mobley,CLE,CLE,1069.1,1177.8,2.99,4.53
Obi Toppin,Aaron Nesmith,IND,IND,482.8,336.1,7.05,5.51
Jarred Vanderbilt,Austin Reaves,LAL,LAL,320.0,359.0,-0.3,-1.84
Isaiah Stewart,Cade Cunningham,DET,DET,1081.2,734.2,-1.46,-3.06
Lauri Markkanen,Walker Kessler,UTA,UTA,671.2,961.9,-5.14,-6.74
Nikola Vučević,Zach LaVine,CHI,CHI,759.8,1268.5,-5.63,-4.01
Jarrett Allen,Max Strus,CLE,CLE,1594.1,919.1,4.86,6.51
RJ Barrett,Scottie Barnes,TOR,TOR,543.2,935.4,-6.19,-4.54
Kevin Huerter,Keegan Murray,SAC,SAC,1062.6,561.7,3.28,1.59
Nikola Vučević,Coby White,CHI,CHI,2111.4,1437.2,-2.65,-4.34
Nickeil Alexander-Walker,Anthony Edwards,MIN,MIN,1196.1,1197.5,4.16,2.47
Kenrich Williams,Isaiah Joe,OKC,OKC,474.5,538.6,13.15,14.85
Shaedon Sharpe,Toumani Camara,POR,POR,566.0,1532.9,-0.38,-2.08
Jordan Poole,Bilal Coulibaly,WAS,WAS,719.5,1373.7,-11.45,-9.73
Onyeka Okongwu,Jalen Johnson,ATL,ATL,622.7,496.7,0.2,-1.55
Jonathan Isaac,Franz Wagner,ORL,ORL,438.2,474.7,3.22,5.0
De'Aaron Fox,Keegan Murray,SAC,SAC,1824.4,1244.1,2.54,0.75
Mike Conley,Jaden McDaniels,MIN,MIN,1399.0,1324.5,2.12,3.91
Shai Gilgeous-Alexander,Luguentz Dort,OKC,OKC,1815.4,1835.3,1.27,3.1
Jamal Murray,Michael Porter Jr.,DEN,DEN,1389.8,1675.7,8.27,6.43
Jerami Grant,Deandre Ayton,POR,POR,1035.9,684.5,-8.96,-10.81
Zion Williamson,Jordan Hawkins,NOP,NOP,432.1,356.3,-2.37,-0.52
T.J. McConnell,Myles Turner,IND,IND,303.7,400.7,-5.64,-3.76
Caris LeVert,Georges Niang,CLE,ATL,1132.3,383.2,3.59,1.7
Bobby Portis,A.J. Green,MIL,MIL,419.1,640.5,10.0,11.89
Dean Wade,Isaac Okoro,CLE,CLE,600.9,319.2,8.67,10.57
Collin Sexton,Keyonte George,UTA,UTA,726.9,851.8,-7.73,-5.77
Donovan Mitchell,Darius Garland,CLE,CLE,750.3,1130.7,2.05,4.03
Jrue Holiday,Jayson Tatum,BOS,BOS,1865.2,1423.6,1.5,3.51
Jalen Duren,Ausar Thompson,DET,DET,660.1,945.9,-3.37,-1.35
Bam Adebayo,Haywood Highsmith,MIA,MIA,817.8,1256.6,-1.52,0.51
Trae Young,Garrison Mathews,ATL,ATL,351.1,465.5,4.78,2.75
Wendell Carter Jr.,Cole Anthony,ORL,ORL,336.2,551.3,-4.0,-1.95
James Harden,Norman Powell,LAC,LAC,1102.4,1565.8,5.76,3.7
Shai Gilgeous-Alexander,Cason Wallace,OKC,OKC,864.2,1334.2,-0.43,1.64
